Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Medication_1,Medication_2,Medication_3,Medication_4,combined_text
Aphasia,Difficulty speaking,Trouble understanding speech,Difficulty reading,Difficulty writing,Speech and language therapy,Medications (post-stroke management),Supportive care,Unknown,Difficulty speaking Trouble understanding speech Difficulty reading Difficulty writing Speech and language therapy Medications (post-stroke management) Supportive care Unknown
Apnea (Sleep Apnea),Loud snoring,Daytime sleepiness,Pauses in breathing during sleep,Unknown,CPAP (continuous positive airway pressure),Weight loss,Surgery (severe cases),Unknown,Loud snoring Daytime sleepiness Pauses in breathing during sleep Unknown CPAP (continuous positive airway pressure) Weight loss Surgery (severe cases) Unknown
Arrhythmogenic Right Ventricular Cardiomyopathy (ARVC),Irregular heartbeat,Fainting,Palpitations,Unknown,"Medications (beta-blockers, antiarrhythmics)",Implantable cardioverter defibrillator (ICD),Unknown,Unknown,"Irregular heartbeat Fainting Palpitations Unknown Medications (beta-blockers, antiarrhythmics) Implantable cardioverter defibrillator (ICD) Unknown Unknown"
Asbestosis,Shortness of breath,Persistent cough,Chest pain,Unknown,No cure,Supportive care (oxygen therapy),Pulmonary rehabilitation,Unknown,Shortness of breath Persistent cough Chest pain Unknown No cure Supportive care (oxygen therapy) Pulmonary rehabilitation Unknown
Aspergillosis,Coughing,Shortness of breath,Wheezing,Fever,Antifungal medications (Voriconazole),Surgery (to remove infected areas),Unknown,Unknown,Coughing Shortness of breath Wheezing Fever Antifungal medications (Voriconazole) Surgery (to remove infected areas) Unknown Unknown
Aspiration Pneumonia,Cough,Fever,Shortness of breath,Chest pain,Antibiotics,Supportive care (oxygen therapy),Swallowing therapy,Unknown,Cough Fever Shortness of breath Chest pain Antibiotics Supportive care (oxygen therapy) Swallowing therapy Unknown
Asystole,No heartbeat,Unconsciousness,No breathing,Unknown,CPR,Defibrillation,Epinephrine,Unknown,No heartbeat Unconsciousness No breathing Unknown CPR Defibrillation Epinephrine Unknown
Ataxia,Poor coordination,Unsteady walking,Speech difficulties,Unknown,Physical therapy,Speech therapy,Medications (to manage symptoms),Unknown,Poor coordination Unsteady walking Speech difficulties Unknown Physical therapy Speech therapy Medications (to manage symptoms) Unknown
Athlete's Foot,Itchy rash,Scaly rash,Burning between toes,Unknown,Topical antifungal creams,Oral antifungal medications,Foot hygiene,Unknown,Itchy rash Scaly rash Burning between toes Unknown Topical antifungal creams Oral antifungal medications Foot hygiene Unknown
Atonic Seizure,Sudden muscle weakness,Collapsing to the ground,Unknown,"Antiepileptic drugs (Valproate, Lamotrigine)",Seizure safety precautions,Unknown,Unknown,Unknown,"Sudden muscle weakness Collapsing to the ground Unknown Antiepileptic drugs (Valproate, Lamotrigine) Seizure safety precautions Unknown Unknown Unknown"
Attention Deficit Hyperactivity Disorder (ADHD),Inattention,Hyperactivity,Impulsiveness,Unknown,"Stimulants (Adderall, Ritalin)",Behavioral therapy,Counseling,Unknown,"Inattention Hyperactivity Impulsiveness Unknown Stimulants (Adderall, Ritalin) Behavioral therapy Counseling Unknown"
Autoimmune Hepatitis,Fatigue,Jaundice,Abdominal pain,Joint pain,Corticosteroids (Prednisone),Immunosuppressants (Azathioprine),Liver transplant (severe cases),Unknown,Fatigue Jaundice Abdominal pain Joint pain Corticosteroids (Prednisone) Immunosuppressants (Azathioprine) Liver transplant (severe cases) Unknown
Autism Spectrum Disorder,Social difficulties,Communication challenges,Repetitive behaviors,Unknown,Behavioral therapy,Speech therapy,Occupational therapy,Educational support,Social difficulties Communication challenges Repetitive behaviors Unknown Behavioral therapy Speech therapy Occupational therapy Educational support
Avascular Necrosis (Osteonecrosis),Joint pain,Limited range of motion,Bone collapse,Unknown,Pain relievers,Physical therapy,Joint replacement surgery,Unknown,Joint pain Limited range of motion Bone collapse Unknown Pain relievers Physical therapy Joint replacement surgery Unknown
Avian Influenza (Bird Flu),Fever,Cough,Sore throat,Muscle aches,Antiviral medications (Oseltamivir),Supportive care,Isolation to prevent spread,Unknown,Fever Cough Sore throat Muscle aches Antiviral medications (Oseltamivir) Supportive care Isolation to prevent spread Unknown
Azotemia,Nausea,Vomiting,Fatigue,Confusion,Dialysis,Medications (to reduce waste buildup),Treat underlying kidney conditions,Unknown,Nausea Vomiting Fatigue Confusion Dialysis Medications (to reduce waste buildup) Treat underlying kidney conditions Unknown
Bacterial Meningitis,Fever,Severe headache,Stiff neck,Nausea,"Antibiotics (Penicillin, Ceftriaxone)",Corticosteroids,Fluids,Supportive care,"Fever Severe headache Stiff neck Nausea Antibiotics (Penicillin, Ceftriaxone) Corticosteroids Fluids Supportive care"
Back Pain,Muscle ache,Shooting pain down leg,Decreased range of motion,Stiffness,Pain relievers (NSAIDs),Physical therapy,Muscle relaxants,Surgery (severe cases),Muscle ache Shooting pain down leg Decreased range of motion Stiffness Pain relievers (NSAIDs) Physical therapy Muscle relaxants Surgery (severe cases)
Bipolar Disorder,Extreme mood swings,Manic episodes,Depressive episodes,Irritability,Mood stabilizers (Lithium),Antidepressants,Psychotherapy,Cognitive behavioral therapy (CBT),Extreme mood swings Manic episodes Depressive episodes Irritability Mood stabilizers (Lithium) Antidepressants Psychotherapy Cognitive behavioral therapy (CBT)
Bladder Cancer,Blood in urine,Painful urination,Frequent urination,Pelvic pain,Surgery (tumor removal),Chemotherapy,Radiation,Bladder reconstruction,Blood in urine Painful urination Frequent urination Pelvic pain Surgery (tumor removal) Chemotherapy Radiation Bladder reconstruction
Bone Cancer,Pain in affected bone,Swelling,Fractures,Fatigue,Surgery (tumor removal),Chemotherapy,Radiation therapy,Targeted therapy,Pain in affected bone Swelling Fractures Fatigue Surgery (tumor removal) Chemotherapy Radiation therapy Targeted therapy
Botulism,Blurred vision,Slurred speech,Muscle weakness,Difficulty breathing,Antitoxin,Supportive care (mechanical ventilation),Physical therapy,Unknown,Blurred vision Slurred speech Muscle weakness Difficulty breathing Antitoxin Supportive care (mechanical ventilation) Physical therapy Unknown
Bradycardia,Slow heart rate,Dizziness,Fainting,Shortness of breath,Pacemaker,Medication adjustments,Treat underlying cause,Unknown,Slow heart rate Dizziness Fainting Shortness of breath Pacemaker Medication adjustments Treat underlying cause Unknown
Bronchitis,Cough,Chest discomfort,Fatigue,Shortness of breath,Cough suppressants,Antibiotics (for bacterial cause),Inhalers,Rest and fluids,Cough Chest discomfort Fatigue Shortness of breath Cough suppressants Antibiotics (for bacterial cause) Inhalers Rest and fluids
Brucellosis,Fever,Joint pain,Sweating,Headaches,"Antibiotics (Doxycycline, Rifampin)",Supportive care,Rest,Unknown,"Fever Joint pain Sweating Headaches Antibiotics (Doxycycline, Rifampin) Supportive care Rest Unknown"
Bursitis,Joint pain,Swelling,Stiffness,Redness,Rest and ice,Anti-inflammatory drugs (NSAIDs),Corticosteroid injections,Physical therapy,Joint pain Swelling Stiffness Redness Rest and ice Anti-inflammatory drugs (NSAIDs) Corticosteroid injections Physical therapy
Celiac Disease,Diarrhea,Abdominal pain,Bloating,Weight loss,Gluten-free diet,Nutritional supplements,Medication (if refractory),Unknown,Diarrhea Abdominal pain Bloating Weight loss Gluten-free diet Nutritional supplements Medication (if refractory) Unknown
Cerebral Palsy,Poor coordination,Stiff muscles,Tremors,Difficulty walking,Physical therapy,Occupational therapy,Speech therapy,Muscle relaxants (Baclofen),Poor coordination Stiff muscles Tremors Difficulty walking Physical therapy Occupational therapy Speech therapy Muscle relaxants (Baclofen)
Cervical Cancer,Abnormal bleeding,Pelvic pain,Pain during intercourse,Fatigue,"Surgery (hysterectomy, cone biopsy)",Chemotherapy,Radiation,Targeted therapy,"Abnormal bleeding Pelvic pain Pain during intercourse Fatigue Surgery (hysterectomy, cone biopsy) Chemotherapy Radiation Targeted therapy"
Chikungunya Fever,Joint pain,Fever,Headache,Rash,Pain relievers,Rest,Fluids,Unknown,Joint pain Fever Headache Rash Pain relievers Rest Fluids Unknown
Chlamydia,Abnormal discharge,Pain during urination,Lower abdominal pain,Pain during intercourse,"Antibiotics (Azithromycin, Doxycycline)",Partner treatment,Abstinence during treatment,Unknown,"Abnormal discharge Pain during urination Lower abdominal pain Pain during intercourse Antibiotics (Azithromycin, Doxycycline) Partner treatment Abstinence during treatment Unknown"
Cholera,Severe diarrhea,Vomiting,Dehydration,Leg cramps,Oral rehydration therapy,Antibiotics (for severe cases),Zinc supplements,IV fluids (severe dehydration),Severe diarrhea Vomiting Dehydration Leg cramps Oral rehydration therapy Antibiotics (for severe cases) Zinc supplements IV fluids (severe dehydration)
Chronic Fatigue Syndrome (CFS),Severe fatigue,Sore throat,Headaches,Joint pain,Pain relievers,Antidepressants,Cognitive therapy,Graded exercise therapy,Severe fatigue Sore throat Headaches Joint pain Pain relievers Antidepressants Cognitive therapy Graded exercise therapy
Chronic Kidney Disease (CKD),Fatigue,"Swelling (legs, ankles)",Shortness of breath,Nausea,Dialysis,"Medications (ACE inhibitors, ARBs)",Transplant,Fluid management,"Fatigue Swelling (legs, ankles) Shortness of breath Nausea Dialysis Medications (ACE inhibitors, ARBs) Transplant Fluid management"
Chronic Obstructive Pulmonary Disease (COPD),Cough,Shortness of breath,Wheezing,Fatigue,"Inhalers (bronchodilators, corticosteroids)",Oxygen therapy,Pulmonary rehabilitation,Quitting smoking,"Cough Shortness of breath Wheezing Fatigue Inhalers (bronchodilators, corticosteroids) Oxygen therapy Pulmonary rehabilitation Quitting smoking"
Cirrhosis,Fatigue,Jaundice,"Swelling (legs, abdomen)",Nausea,"Treat underlying cause (hepatitis, alcohol)",Diuretics,Liver transplant,Supportive care,"Fatigue Jaundice Swelling (legs, abdomen) Nausea Treat underlying cause (hepatitis, alcohol) Diuretics Liver transplant Supportive care"
Colon Cancer,Abdominal pain,Blood in stool,Weight loss,Changes in bowel habits,Surgery (colon resection),Chemotherapy,Radiation,Targeted therapy,Abdominal pain Blood in stool Weight loss Changes in bowel habits Surgery (colon resection) Chemotherapy Radiation Targeted therapy
Conjunctivitis (Pink Eye),Redness of the eye,Itchy eyes,Tearing,Discharge,Antibiotic eye drops (bacterial),Antihistamines (allergic),Artificial tears,Rest,Redness of the eye Itchy eyes Tearing Discharge Antibiotic eye drops (bacterial) Antihistamines (allergic) Artificial tears Rest
Coronary Artery Disease,Chest pain (angina),Shortness of breath,Fatigue,Heart attack,Statins,Blood pressure medications,Lifestyle changes,Angioplasty or bypass surgery,Chest pain (angina) Shortness of breath Fatigue Heart attack Statins Blood pressure medications Lifestyle changes Angioplasty or bypass surgery
Croup,Barking cough,Hoarseness,Difficulty breathing,Fever,Corticosteroids,Humidified air,Fluids,Epinephrine (severe cases),Barking cough Hoarseness Difficulty breathing Fever Corticosteroids Humidified air Fluids Epinephrine (severe cases)
Crohn's Disease,Abdominal pain,Diarrhea,Weight loss,Fatigue,Anti-inflammatory drugs (corticosteroids),Immune suppressants,Biologics,Low-fiber diet,Abdominal pain Diarrhea Weight loss Fatigue Anti-inflammatory drugs (corticosteroids) Immune suppressants Biologics Low-fiber diet
Cushing's Syndrome,Weight gain,Rounded face,High blood pressure,Fatigue,Surgery (removal of tumor),Corticosteroid-sparing agents,Radiation,Treat underlying cause,Weight gain Rounded face High blood pressure Fatigue Surgery (removal of tumor) Corticosteroid-sparing agents Radiation Treat underlying cause
Cystic Fibrosis,Persistent cough,Lung infections,Shortness of breath,Poor weight gain,Antibiotics,Chest physiotherapy,Mucus-thinning drugs,Lung transplant (severe cases),Persistent cough Lung infections Shortness of breath Poor weight gain Antibiotics Chest physiotherapy Mucus-thinning drugs Lung transplant (severe cases)
Cystitis,Painful urination,Frequent urination,Blood in urine,Lower abdominal pain,Antibiotics,Pain relievers,Fluids,"Prevention (cranberry, hygiene)","Painful urination Frequent urination Blood in urine Lower abdominal pain Antibiotics Pain relievers Fluids Prevention (cranberry, hygiene)"
Cytomegalovirus (CMV),Fever,Sore throat,Fatigue,Swollen glands,Antiviral medications (Ganciclovir),Rest,Supportive care,Unknown,Fever Sore throat Fatigue Swollen glands Antiviral medications (Ganciclovir) Rest Supportive care Unknown
Dengue Fever,High fever,Severe headache,Joint pain,Rash,Fluids,Rest,Pain relievers (acetaminophen),Hospitalization (severe cases),High fever Severe headache Joint pain Rash Fluids Rest Pain relievers (acetaminophen) Hospitalization (severe cases)
Depression,Persistent sadness,Loss of interest,Fatigue,Sleep disturbances,"Antidepressants (SSRIs, SNRIs)",Psychotherapy,Cognitive-behavioral therapy (CBT),Exercise,"Persistent sadness Loss of interest Fatigue Sleep disturbances Antidepressants (SSRIs, SNRIs) Psychotherapy Cognitive-behavioral therapy (CBT) Exercise"
Diabetes (Type 1),Increased thirst,Frequent urination,Unexplained weight loss,Fatigue,Insulin injections,Blood sugar monitoring,Dietary management,Exercise,Increased thirst Frequent urination Unexplained weight loss Fatigue Insulin injections Blood sugar monitoring Dietary management Exercise
Diabetes (Type 2),Increased thirst,Blurred vision,Slow healing wounds,Frequent urination,Metformin,Insulin (in some cases),Weight management,Exercise,Increased thirst Blurred vision Slow healing wounds Frequent urination Metformin Insulin (in some cases) Weight management Exercise
Diabetic Neuropathy,Numbness in limbs,Pain in feet,Weakness,Balance problems,Blood sugar control,Pain relievers,Antidepressants (for nerve pain),Anticonvulsants,Numbness in limbs Pain in feet Weakness Balance problems Blood sugar control Pain relievers Antidepressants (for nerve pain) Anticonvulsants
Diarrhea,Loose stools,Abdominal cramps,Nausea,Fatigue,Fluids and electrolytes,Antidiarrheals (Loperamide),Antibiotics (if bacterial),Rest,Loose stools Abdominal cramps Nausea Fatigue Fluids and electrolytes Antidiarrheals (Loperamide) Antibiotics (if bacterial) Rest
Diphtheria,Sore throat,Fever,Swollen neck,Difficulty breathing,Antitoxin,Antibiotics (Erythromycin),Airway management (in severe cases),Vaccination (preventative),Sore throat Fever Swollen neck Difficulty breathing Antitoxin Antibiotics (Erythromycin) Airway management (in severe cases) Vaccination (preventative)
Diverticulitis,Abdominal pain,Fever,Nausea,Change in bowel habits,Antibiotics,Pain relievers,High-fiber diet,Surgery (severe cases),Abdominal pain Fever Nausea Change in bowel habits Antibiotics Pain relievers High-fiber diet Surgery (severe cases)
Dizziness,Lightheadedness,Vertigo,Fainting,Unsteady walking,Anti-nausea medications,Fluids,Rest,Physical therapy (for balance issues),Lightheadedness Vertigo Fainting Unsteady walking Anti-nausea medications Fluids Rest Physical therapy (for balance issues)
Duchenne Muscular Dystrophy,Muscle weakness,Frequent falls,Difficulty running or jumping,Enlarged calves,Physical therapy,Steroids,Assistive devices,Cardiac care,Muscle weakness Frequent falls Difficulty running or jumping Enlarged calves Physical therapy Steroids Assistive devices Cardiac care
Ebola,Fever,Severe headache,Vomiting,Bleeding (internal and external),Fluids,Supportive care,Antiviral medications (in experimental phases),Isolation (to prevent spread),Fever Severe headache Vomiting Bleeding (internal and external) Fluids Supportive care Antiviral medications (in experimental phases) Isolation (to prevent spread)
Eczema,Itchy skin,Red patches,"Dry, cracked skin",Swelling,Topical corticosteroids,Moisturizers,Antihistamines,Light therapy (severe cases),"Itchy skin Red patches Dry, cracked skin Swelling Topical corticosteroids Moisturizers Antihistamines Light therapy (severe cases)"
Emphysema,Shortness of breath,Wheezing,Chronic cough,Fatigue,Inhalers (bronchodilators),Smoking cessation,Physical therapy,Oxygen therapy (severe cases),Shortness of breath Wheezing Chronic cough Fatigue Inhalers (bronchodilators) Smoking cessation Physical therapy Oxygen therapy (severe cases)
Encephalitis,Fever,Headache,Confusion,Seizures,Antiviral medications (Acyclovir),Supportive care,Anticonvulsants,Corticosteroids (to reduce swelling),Fever Headache Confusion Seizures Antiviral medications (Acyclovir) Supportive care Anticonvulsants Corticosteroids (to reduce swelling)
Endometriosis,Pelvic pain,Pain during menstruation,Heavy periods,Infertility,Pain relievers (NSAIDs),Hormone therapy,Surgery (to remove tissue),Assisted reproductive technology (for infertility),Pelvic pain Pain during menstruation Heavy periods Infertility Pain relievers (NSAIDs) Hormone therapy Surgery (to remove tissue) Assisted reproductive technology (for infertility)
Epilepsy,Seizures,Confusion,Temporary unconsciousness,Staring spells,Antiepileptic drugs,Seizure precautions,Vagus nerve stimulation,Surgery (severe cases),Seizures Confusion Temporary unconsciousness Staring spells Antiepileptic drugs Seizure precautions Vagus nerve stimulation Surgery (severe cases)
Erectile Dysfunction,Difficulty achieving an erection,Reduced libido,Anxiety,Depression,"PDE5 inhibitors (Viagra, Cialis)",Therapy for underlying psychological issues,Hormone replacement (if needed),Vacuum devices or surgery (severe cases),"Difficulty achieving an erection Reduced libido Anxiety Depression PDE5 inhibitors (Viagra, Cialis) Therapy for underlying psychological issues Hormone replacement (if needed) Vacuum devices or surgery (severe cases)"
Esophagitis,Heartburn,Difficulty swallowing,Sore throat,Chest pain,Antacids,PPI (Proton Pump Inhibitors),Antibiotics (if infectious),Lifestyle changes (diet modification),Heartburn Difficulty swallowing Sore throat Chest pain Antacids PPI (Proton Pump Inhibitors) Antibiotics (if infectious) Lifestyle changes (diet modification)
Fibromyalgia,Widespread pain,Fatigue,Sleep disturbances,Memory issues,Pain relievers (NSAIDs),Antidepressants (Amitriptyline),Exercise,Physical therapy,Widespread pain Fatigue Sleep disturbances Memory issues Pain relievers (NSAIDs) Antidepressants (Amitriptyline) Exercise Physical therapy
Fever,High body temperature,Shivering,Sweating,Headache,Fluids,Rest,Acetaminophen or ibuprofen,Antibiotics (if bacterial),High body temperature Shivering Sweating Headache Fluids Rest Acetaminophen or ibuprofen Antibiotics (if bacterial)
Flu (Influenza),Fever,Body aches,Cough,Fatigue,Antiviral medications (Oseltamivir),Rest,Fluids,Pain relievers,Fever Body aches Cough Fatigue Antiviral medications (Oseltamivir) Rest Fluids Pain relievers
Fracture,Pain at the injury site,Swelling,Bruising,Inability to move affected area,Casting or splinting,Pain relievers,Physical therapy,Surgery (in severe cases),Pain at the injury site Swelling Bruising Inability to move affected area Casting or splinting Pain relievers Physical therapy Surgery (in severe cases)
Food Poisoning,Nausea,Diarrhea,Abdominal cramps,Vomiting,Fluids and electrolytes,Antibiotics (for bacterial causes),Rest,Antiemetics (for vomiting),Nausea Diarrhea Abdominal cramps Vomiting Fluids and electrolytes Antibiotics (for bacterial causes) Rest Antiemetics (for vomiting)
Frostbite,Numbness,Discolored skin,Blisters,Pain,Gradual warming,Pain relievers,Wound care,Amputation (severe cases),Numbness Discolored skin Blisters Pain Gradual warming Pain relievers Wound care Amputation (severe cases)
Frozen Shoulder,Shoulder stiffness,Pain,Reduced range of motion,Swelling,Pain relievers,Physical therapy,Corticosteroid injections,Surgery (severe cases),Shoulder stiffness Pain Reduced range of motion Swelling Pain relievers Physical therapy Corticosteroid injections Surgery (severe cases)
Fungal Infections,Itchy rash,Scaly patches,Redness,Cracking skin,Topical antifungal creams,Oral antifungal medications,Hygiene measures,Unknown,Itchy rash Scaly patches Redness Cracking skin Topical antifungal creams Oral antifungal medications Hygiene measures Unknown
Gallstones,Upper abdominal pain,Nausea,Vomiting,Bloating,Surgery (cholecystectomy),Pain relievers,Dietary changes,Shockwave therapy (rare cases),Upper abdominal pain Nausea Vomiting Bloating Surgery (cholecystectomy) Pain relievers Dietary changes Shockwave therapy (rare cases)
Gastritis,Stomach pain,Nausea,Vomiting,Bloating,Antacids,Proton pump inhibitors,Antibiotics (if H. pylori infection),Lifestyle changes (diet modification),Stomach pain Nausea Vomiting Bloating Antacids Proton pump inhibitors Antibiotics (if H. pylori infection) Lifestyle changes (diet modification)
Gastroenteritis,Diarrhea,Nausea,Vomiting,Abdominal cramps,Fluids and electrolytes,Antidiarrheal medications,Rest,Antibiotics (if bacterial),Diarrhea Nausea Vomiting Abdominal cramps Fluids and electrolytes Antidiarrheal medications Rest Antibiotics (if bacterial)
Gastroesophageal Reflux Disease (GERD),Heartburn,Chest pain,Difficulty swallowing,Regurgitation,Antacids,Proton pump inhibitors,Lifestyle changes,Antireflux surgery (severe cases),Heartburn Chest pain Difficulty swallowing Regurgitation Antacids Proton pump inhibitors Lifestyle changes Antireflux surgery (severe cases)
Genital Herpes,Itching in genital area,Painful sores,Flu-like symptoms,Difficulty urinating,Antiviral medications (Acyclovir),Topical pain relievers,Supportive care,Unknown,Itching in genital area Painful sores Flu-like symptoms Difficulty urinating Antiviral medications (Acyclovir) Topical pain relievers Supportive care Unknown
Giardiasis,Diarrhea,Abdominal pain,Nausea,Weight loss,Antiparasitic medications (Metronidazole),Fluids,Rest,Unknown,Diarrhea Abdominal pain Nausea Weight loss Antiparasitic medications (Metronidazole) Fluids Rest Unknown
Glaucoma,Blurred vision,Eye pain,Headache,Peripheral vision loss,Eye drops (reduce pressure),Laser surgery,Traditional surgery,Unknown,Blurred vision Eye pain Headache Peripheral vision loss Eye drops (reduce pressure) Laser surgery Traditional surgery Unknown
Gout,Severe joint pain,Redness,Swelling,Warmth,Anti-inflammatory drugs (NSAIDs),Colchicine,Corticosteroids,Lifestyle changes (diet modification),Severe joint pain Redness Swelling Warmth Anti-inflammatory drugs (NSAIDs) Colchicine Corticosteroids Lifestyle changes (diet modification)
Guillain-Barré Syndrome,Weakness in legs,Tingling,Paralysis,Unsteady walking,Plasmapheresis,IV immunoglobulin,Physical therapy,Respiratory support (severe cases),Weakness in legs Tingling Paralysis Unsteady walking Plasmapheresis IV immunoglobulin Physical therapy Respiratory support (severe cases)
Hay Fever (Allergic Rhinitis),Sneezing,Runny nose,Itchy eyes,Nasal congestion,Antihistamines,Nasal corticosteroids,Decongestants,Allergy shots,Sneezing Runny nose Itchy eyes Nasal congestion Antihistamines Nasal corticosteroids Decongestants Allergy shots
